New Internal ID	Year	Genus	Species	Serovar	Source (site)	Source (national)	ST	Plasmids	Ceftriaxone CRO (R≤ 19)	Meropenem (R≤ 19)	Ampicillin (R≤ 13)	Gentamicin (R≤ 12)	Ciprofloxacin (R≤ 21)	Tetracycline (R≤ 11)	Chloramphenicol (R≥ 32 )	Colistin  (≥ 4) 	Trimethoprim-Sulfamethoxazole ( ≥4)	Amoxicillin-clavulanic acid -Amoclan (≥32/16)	Azithromycin (≥32)	Nalidixic acid (≥32)	Aminoglycoside	triclosan	fosfomycin	peptide antibiotic	Glycopeptide	nucleoside antibiotic, disinfecting agents and antiseptics	fluoroquinolone antibiotic	elfamycin antibiotic	nitroimidazole antibiotic	cephalosporin, penam	cephalosporin, cephamycin, penam	aminoglycoside antibiotic, aminocoumarin antibiotic	fluoroquinolone antibiotic, tetracycline antibiotic	macrolide antibiotic, fluoroquinolone antibiotic, penam	tetracycline antibiotic, benzalkonium chloride, rhodamine	fluoroquinolone antibiotic, diaminopyrimidine antibiotic, phenicol antibiotic	monobactam, carbapenem, cephalosporin, cephamycin, penam, phenicol antibiotic, penem	macrolide antibiotic, fluoroquinolone antibiotic, cephalosporin, cephamycin, penam, tetracycline antibiotic	macrolide antibiotic, aminoglycoside antibiotic, cephalosporin, tetracycline antibiotic, peptide antibiotic, rifamycin antibiotic	fluoroquinolone antibiotic, cephalosporin, glycylcycline, penam, tetracycline antibiotic, rifamycin antibiotic, phenicol antibiotic, triclosan	fluoroquinolone antibiotic, monobactam, carbapenem, cephalosporin, glycylcycline, cephamycin, penam, tetracycline antibiotic, rifamycin antibiotic, phenicol antibiotic, triclosan, penem	monobactam, cephalosporin, penam, penem	Tetracycline	  Disinfectant            	Sulphonamide	cephalosporin	Beta-lactam   	Acridine dye, disinfecting agents and intercalating dyes	Macrolide, Lincosamide and streptogramin B 	Phenicol 	diaminopyrimidine antibiotic	macrolide	aminocoumarin antibiotic	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics
SAL_201901_174	2019	Salmonella	Enterica	Typhimurium	Human stool	Lebanon	376	IncFII(S)	<0.25 S 	<0.25 S 	6 R	6 R	19 R	4 R	6 R	<0.25 S	16 R	32 R	4 S	>512 R 	AAC(6')-Iy, kdpE, AAC(3)-IIe, APH(6)-Id, APH(3'')-Ib	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	EF-Tu mutants 	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	TEM-1	tet(B), Tet(R)  	-	sul2	-	-	-	Inu (G)	floR			mdtB,mdtC	mdtM					
SAL_201901_175	2019	Salmonella	Enterica	Typhimurium	Human stool	Lebanon	376	IncFIB(S), IncFII(S)	<0.25 S 	<0.25 S 	6 R	6 R	20 R	4 R	6 R	<0.25 S	64 R	16 S	4 S	>512 R 	AAC(6')-Iaa, kdpE, AAC(3)-IIe, APH(6)-Id, APH(3'')-Ib, acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	TEM-1	tet(B), Tet(R)  	-	sul2	-	-	-	Inu (G)	floR			mdtB,mdtC	mdtM					
SAL_201901_176	2019	Salmonella	Enterica	Typhimurium	Human stool	Lebanon	376	IncFII(S)	<0.25 S 	<0.25 S 	24 S	<0.25 S 	1 S 	<0.5 S 	6 R	<0.25 S	2 S	<2 S 	2 S	>512 R 	AAC(3)-IIe, APH(6)-Id, kdpE, acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT	vanG	leuO	emrB, emrR, emrA, MdtK	EF-Tu mutants 	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	adeF	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	TEM-1	tet(B), Tet(R)  	-	sul2	-	-	-	Inu (G)	floR			mdtB,mdtC	mdtM					
SAL_201901_177	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<0.25 S 	<0.25 S 	27 S	<0.25 S 	<0.25 S 	<0.5 S 	16 S	<0.25 S	32 R	16 S	4 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	-	-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201901_178	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<0.25 S 	<0.25 S 	26 S	<0.25 S 	<0.25 S 	<0.5 S 	16 S	<0.25 S	4 R	<2 S	4 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	 PmrF, ArnT,ugd	vanG	leuO	 emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR	adeF	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	-	-	-	-	-	-	-	-	-						 KpnH			
SAL_201901_179	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S)	<0.25 S 	<0.25 S 	28 S	<0.25 S 	1 S 	1 S 	16 S	<0.25 S	4 R	<2 S 	2 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	-	-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201902_180	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S), IncFIB(K)(pCAV1099-114)	<0.25 S 	<0.25 S 	6 R	<0.25 S 	<0.25 S 	4 R	16 S	<0.25 S	>512 R	32 R	2 S	>512 R 	AAC(6')-Iy, kdpE,  acrD,APH(3'')-Ib,APH(6)-Id	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK,Qnsr1	-	msbA	CTX-M-15	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	-	-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201903_181	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<0.25 S 	<0.25 S 	6 R	6R 	18 R	4 R	6R 	<0.25 S	32 R	16 S	4 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	-	-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201903_182	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<0.25 S 	<0.25 S 	<2 S 	<0.25 S 	<0.25 S 	4 R	16 S	<0.25 S	4 R	<2 S	2 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	-	-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201903_183	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<0.25 S 	<0.25 S 	<2 S 	12 R	20 R	4 R	16 S	1 S	2 S 	4 S	4 S 	>512 R 	AAC(6')-Iy, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK,GryA		msbA		PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA		CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC		 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation												mdtB,mdtC	mdtM					
